code,name,price_שוהם 91,price_per_pack_שוהם 91,promo_price_שוהם 91,price_רעננה 45,price_per_pack_רעננה 45,promo_price_רעננה 45,price_אופקים 47,price_per_pack_אופקים 47,promo_price_אופקים 47,price_לינקולן תל אביב 44,price_per_pack_לינקולן תל אביב 44,promo_price_לינקולן תל אביב 44,price_ברנע 41,price_per_pack_ברנע 41,promo_price_ברנע 41
7290108353372,צמד מברשת שיניים אורביטול סיבי פחם,,,,,,,,,,31.90,31.9,,31.90,31.9,
7290108353518,סנו סושי -תבניות אלומניום XL,,,,,,,,,,12.90,12.9,,,,
7290108353525,סנו סושי -תבניות אלומניום L,,,,,,,,,,12.90,12.9,,,,
7290108353723,קרמה תחליב רחצה חימר תה ירוק 500 מל,,,,,,,,,,13.90,13.9,,,,
7290108353747,תחליב רחצה אירוודה בניחוח טונקה 600 מל,,,,,,,,,,19.90,19.9,,,,
7290108353815,תחליב רחצה בניחוח פצ`ולי לבנדר 600 מל,,,,,,,,,,19.90,19.9,,,,
7290108353877,סושי 7 תבניות אינגליש קייק אלומניום אקסט,,,,,,,,,,11.90,11.9,,,,
7290108354294,ק. גוף עשיר חמאת שיאה שמן קוקוי וויטמין,,,,,,,,,,25.90,25.9,,,,
7290108354997,דאודורנט ספריי 4ב1 עדין 150 מל,,,,,,,,,,14.90,14.9,20,,,
7290108355055,לחות מקצועית עם גלייז נטורל 400 מל,,,,,,,,,,30.90,30.9,,,,
7290108355260,נקה 7 3ב1 שמפו גל רחצה וסבון פנים לגבר,,,,,,,,,,12.90,12.9,20,,,
7290108355277,נקה 7 2ב1 שמפו ומרכך לגבר,,,,,,,,,,12.90,12.9,20,,,
7290108355482,דאודורנט רול און קרמה לבנדר ואקליפטוס 75,,,,,,,,,,14.90,14.9,20,,,
7290108356182,אל סבון נוזלי כיף תאנה ותה ירוק (1ליטר),,,,,,,,,,14.90,14.9,20,14.90,14.9,20
7290108356717,כיף לגבר קפאין שמפו ג`ל רחצה וסבון פנים,,,,,,,,,,12.90,12.9,20,,,
7290108356724,כיף לגבר אלוורה שמפו ג`ל רחצה וסבון פנים,,,,,,,,,,12.90,12.9,20,12.90,12.9,20
7290108356885,סנובון דאבל פרש שלישיה בניחוח יערות,,,,,,,,,,16.90,16.9,,,,
7290108356991,קרמה תחליב רחצה מלפפון ואלוורה 600 מל,,,,,,,,,,19.90,19.9,,,,
7290108357042,קרליין נושם BIO דאודורנט רולאון citrus b,,,,,,,,,,14.90,14.9,,,,
7290108357172,סנו-די דוחה  יתושים+ ציטרונלה,,,,,,,,,,21.90,21.9,,21.90,21.9,
7290108357189,סנו מקסימה למייבש 750 מל,,,,,,,,,,19.90,19.9,16.90,,,
7290108357530,קרמה דיאודורנט רולאון מלפפון ואלוורה,,,,,,,,,,14.90,14.9,20,,,
7290108357585,דאודורנט ספריי קרמה מלפפון ואלוורה 150 מ,,,,,,,,,,14.90,14.9,20,,,
7290108357646,קרליין נושם BIO רולאון אסאי SOFT PEONY,,,,,,,,,,14.90,14.9,,,,
