code,name,price_שוהם 91,price_per_pack_שוהם 91,promo_price_שוהם 91,price_רעננה 45,price_per_pack_רעננה 45,promo_price_רעננה 45,price_אופקים 47,price_per_pack_אופקים 47,promo_price_אופקים 47,price_לינקולן תל אביב 44,price_per_pack_לינקולן תל אביב 44,promo_price_לינקולן תל אביב 44,price_ברנע 41,price_per_pack_ברנע 41,promo_price_ברנע 41
196,גודי פטור מעמ,0.01,0.01,,,,,0.01,0.01,,0.01,0.01,,0.01,0.01,
319,תו סיבוס פטור מעמ,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,
321,תן ביס פטור מעמ,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,
600, סנדוויץ`עובד,3,3.0,,3,3.0,,3,3.0,,3,3.0,,3,3.0,
2003,אבוקדו ישראל,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,
2004,אבטיח ישראל,4.90,4.9,2.90,4.90,4.9,2.90,4.90,4.9,1.90,4.90,4.9,2.90,4.90,4.9,2.90
2007,בטטה ישראל,10.90,10.9,,10.90,10.9,,9.90,9.9,,10.90,10.9,,10.90,10.9,
2009,בננות ישראל,8.90,8.9,6.90,8.90,8.9,,8.90,8.9,,8.90,8.9,,8.90,8.9,
2010,בצל יבש ישראל,4.90,4.9,1.90,4.90,4.9,1.90,4.90,4.9,1.90,4.90,4.9,1.90,4.90,4.9,1.90
2012,אננס טרי ישראל,35,35.0,,35,35.0,,35,35.0,,35,35.0,,35,35.0,
2013,גויאבה ישראל,25.90,25.9,,,,,,,,,,,,,
7290000654973,גזר ארוז,5.90,5.9,1.90,5.90,5.9,1.90,4.90,4.9,0.90,5.90,5.9,1.90,5.90,5.9,1.90
2016,דלורית ישראל,9.90,9.9,,9.90,9.9,,8.90,8.9,,9.90,9.9,,9.90,9.9,
2017,תפוח זהוב תוצרת איטליה,13.90,13.9,,,,,13.90,13.9,,13.90,13.9,,13.90,13.9,
2019,חסה עגולה ישראל,6.90,6.9,,,,,5.90,5.9,,6.90,6.9,,6.90,6.9,
2020,חסה רגילה ישראל,5.90,5.9,,,,,4.90,4.9,,5.90,5.9,,5.90,5.9,
2021,חצילים ישראל,9.90,9.9,5.90,9.90,9.9,,8.90,8.9,1.90,9.90,9.9,,9.90,9.9,
2022,ירק ישראל,3.90,3.9,,,,,3.90,3.9,,3.90,3.9,,,,
2023,תפוח יונתן ארצות הברית,16.90,16.9,,,,,15.90,15.9,,16.90,16.9,,16.90,16.9,
2024,כרוב לבן ישראל,5.90,5.9,1.90,5.90,5.9,1.90,4.90,4.9,0.90,5.90,5.9,1.90,5.90,5.9,1.90
7290017043005,כרובית ארוזה,9.90,9.9,,9.90,9.9,,9.90,9.9,,9.90,9.9,,9.90,9.9,
2027,לימון ישראל,9.90,9.9,3.90,9.90,9.9,3.90,9.90,9.9,3.90,9.90,9.9,3.90,9.90,9.9,3.90
2028,מלפפון ישראל,6.90,6.9,2.90,6.90,6.9,2.90,5.90,5.9,1.90,6.90,6.9,2.90,6.90,6.9,2.90
2029,מלון ישראל,8.90,8.9,3.90,8.90,8.9,3.90,8.90,8.9,3.90,8.90,8.9,3.90,8.90,8.9,3.90
2033,תפוח סמיט תוצרת איטליה,12.90,12.9,10.90,12.90,12.9,10.90,12.90,12.9,10.90,12.90,12.9,10.90,12.90,12.9,10.90
2034,תפוח סטארקינג איטליה,13.90,13.9,,13.90,13.9,,13.90,13.9,,13.90,13.9,,13.90,13.9,
2035,סלק ישראל,5.90,5.9,2.90,5.90,5.9,2.90,4.90,4.9,0.90,5.90,5.9,2.90,5.90,5.9,2.90
2036,עגבנייה ישראל,6.90,6.9,2.90,6.90,6.9,2.90,5.90,5.9,0.90,6.90,6.9,2.90,6.90,6.9,2.90
2039,פומלה ישראל,10.90,10.9,,,,,,,,,,,,,
2040,פלפל ירוק ישראל,10.90,10.9,,10.90,10.9,,9.90,9.9,,10.90,10.9,,10.90,10.9,
2041,פלפל חריף ירוק ישראל,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,
2043,עגבניות שרי צהוב תפזורת,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,
2044,צנון ישראל,6.90,6.9,,,,,,,,,,,,,
2046,קולורבי ישראל,9.90,9.9,,9.90,9.9,,8.90,8.9,,9.90,9.9,,9.90,9.9,
2047,קלמנטינה ישראל,8.90,8.9,,,,,8.90,8.9,,,,,,,
2048,קישואים ישראל,8.90,8.9,,8.90,8.9,,7.90,7.9,,8.90,8.9,,8.90,8.9,
2049,קיווי ירוק ישראל,20.90,20.9,,20.90,20.9,,19.90,19.9,,20.90,20.9,,20.90,20.9,
2051,לפת ישראל,7.90,7.9,,,,,7.90,7.9,,,,,,,
7290017291123,שום יבש ארוז תוצרת סין,5,5.0,,5,5.0,,5,5.0,,5,5.0,,5,5.0,
2056,שרי לובלו אדום ישראל תפזורת,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,
2058,תפוא לבן ישראל,4.90,4.9,3.90,4.90,4.9,3.90,4.90,4.9,3.90,4.90,4.9,3.90,4.90,4.9,3.90
7290018956007,תירס ארוז,9.90,9.9,,9.90,9.9,,9.90,9.9,,9.90,9.9,,9.90,9.9,
2061,פלפל אדום ישראל,10.90,10.9,7.90,10.90,10.9,7.90,9.90,9.9,7.90,10.90,10.9,7.90,10.90,10.9,7.90
2063,אגס ירוק תוצרת יוון,15.90,15.9,,15.90,15.9,,15.90,15.9,,15.90,15.9,,15.90,15.9,
2064,כרוב סגול ישראל,6.90,6.9,,6.90,6.9,,5.90,5.9,,6.90,6.9,,6.90,6.9,
2065,פלפל חריף אדום ישראל,15.90,15.9,,15.90,15.9,,14.90,14.9,,15.90,15.9,,15.90,15.9,
2066,פלפל בהיר ישראל,10.90,10.9,,,,,9.90,9.9,,10.90,10.9,,10.90,10.9,
2067,פלפל צהוב ישראל,10.90,10.9,,10.90,10.9,,9.90,9.9,,10.90,10.9,,10.90,10.9,
2068,אפרסמון ישראל,17.90,17.9,,,,,16.90,16.9,,,,,17.90,17.9,
2071,וירטיקלית  פטרוזליה**,5,5.0,,,,,,,,,,,,,
2072,בצל סגול ישראל,5.90,5.9,,5.90,5.9,,5.90,5.9,,5.90,5.9,,5.90,5.9,
2074,עגבניות שרי ארוז,10,10.0,,10,10.0,,10,10.0,,10,10.0,,,,
2080,נקטרינה ישראל,15.90,15.9,10,15.90,15.9,10,15.90,15.9,10,15.90,15.9,10,15.90,15.9,10
4251291107435,ענבי טלי שחורים ישראל,34.90,34.9,,34.90,34.9,,34.90,34.9,,34.90,34.9,,34.90,34.9,
2082,תפוח פינק ישראל,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,
2083,ליצ`י שקיל ישראל,39.90,39.9,,,,,39.90,39.9,,,,,,,
2084,דלעת ערמונים ישראל,9.90,9.9,,,,,9.90,9.9,,9.90,9.9,,9.90,9.9,
2088,מנגו ישראל,30,30.0,,30,30.0,,30,30.0,,30,30.0,,30,30.0,
2089,שזיף ירוק ישראל,30,30.0,,30,30.0,,30,30.0,,30,30.0,,30,30.0,
2090,שסק ישראל,30,30.0,,,,,,,,30,30.0,,,,
2091,אפרסק ישראל,19.90,19.9,10,19.90,19.9,10,19.90,19.9,10,19.90,19.9,10,19.90,19.9,10
2092,פלפל שושקה ישראל,15.90,15.9,,,,,14.90,14.9,,15.90,15.9,,15.90,15.9,
2096,שקדים ירוקים ישראל,14.90,14.9,,14.90,14.9,,14.90,14.9,,14.90,14.9,,14.90,14.9,
2098,משמש ישראל,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,
2099,שזיף אדום ישראל,24.90,24.9,,24.90,24.9,,24.90,24.9,,24.90,24.9,,24.90,24.9,
2102,שזיף שגיב ישראל,15.90,15.9,,,,,14.90,14.9,,,,,,,
2111,בטטה ירושלמית כסביה ישראל,13.90,13.9,,,,,,,,13.90,13.9,,,,
2113,פלפל כתום ישראל,12.90,12.9,,,,,12.90,12.9,,12.90,12.9,,12.90,12.9,
2115,שום טרי תפזורת ישראל,29.90,29.9,,29.90,29.9,,,,,29.90,29.9,,,,
2117,פול ירוק ישראל,10.90,10.9,,,,,,,,,,,,,
2120,תפוא אדום ישראל,6.90,6.9,4.90,6.90,6.9,,5.90,5.9,,6.90,6.9,,6.90,6.9,
7290014462540,תאנים ארוז,24.90,24.9,,24.90,24.9,,24.90,24.9,,24.90,24.9,,24.90,24.9,
2124,לוביה ישראל,25,25.0,,25,25.0,,,,,,,,,,
2127,ענבים ירוקים ישראל,24.90,24.9,,24.90,24.9,,24.90,24.9,,24.90,24.9,,24.90,24.9,
2129,אבטיח גולי ישראל,6.90,6.9,,,,,,,,,,,6.90,6.9,
2130,אנונה ישראל,29.90,29.9,,29.90,29.9,,,,,,,,,,
2144,קישוא זוקיני ישראל,8.90,8.9,,8.90,8.9,,8.90,8.9,,8.90,8.9,,8.90,8.9,
2158,תפוזים ברשת ישראל,6.90,6.9,,,,,,,,,,,,,
2160,רוביא ישראל,39.90,39.9,,,,,,,,39.90,39.9,,,,
2162,תפוא תפזורת ישראל,6.90,6.9,,,,,,,,,,,,,
2163,לימון סיני ישראל,15.90,15.9,,,,,14.90,14.9,,,,,,,
2165,פטריות תפזורת למילוי תוצרת ישראל,36.90,36.9,,36.90,36.9,,36.90,36.9,,,,,36.90,36.9,
7290005678073,פלפל צ`ילי ישראל,10,10.0,,,,,10,10.0,,10,10.0,,,,
2172,מלון ספרדי ישראל,10.90,10.9,,,,,9.90,9.9,,10.90,10.9,,10.90,10.9,
2173,חציל בלדי ישראל,10.90,10.9,,10.90,10.9,,9.90,9.9,,10.90,10.9,,10.90,10.9,
2174,דובדבנים טרי תפזורת ישראל,35,35.0,30,35,35.0,30,35,35.0,30,35,35.0,30,35,35.0,30
2175,עגבנית תמר ישראל,15.90,15.9,,15.90,15.9,,14.90,14.9,,,,,,,
2186,תפוח גלה איטליה,13.90,13.9,,,,,12.90,12.9,,13.90,13.9,,,,
2252,פטיה ישראל,29.90,29.9,,,,,,,,,,,,,
5402,שקית הקפאה,4.90,4.9,,,,,,,,,,,,,
7290103152987,פאלאס תבניות אלומיניום קטן/אינגליש,1.10,1.1,11,,,,1.10,1.1,11,,,,1.10,1.1,11
9100,נתח קצבים טרי מוכשר סרעפת מ,119,119.0,,,,,,,,,,,,,
7290112482211,פאלאס תבניות אלומניום ענק,2,2.0,11,,,,2,2.0,11,,,,2,2.0,11
7290103152949,פאלאס תבנית גדולה/רחבה/עמוקה/עגולה,1.70,1.7,11,,,,1.70,1.7,11,,,,1.70,1.7,11
15474,פריסקיז מעדני הבית 1.45,37.90,37.9,,,,,,,,37.90,37.9,,37.90,37.9,
38432,אקווה נובה 2 ליטר  בודד**,4.50,4.5,,,,,,,,,,,,,
38995,חזה עגל כשר,59.90,59.9,,,,,,,,,,,,,
7290000046020,גבינת גלבוע 22% תנובה,49.72,49.72,,49.72,49.72,,49.72,49.72,,49.72,49.72,,49.72,49.72,
7290000046563,קולאג 23% פרמזן חריץ תנובה,149,149.0,,,,,149,149.0,,,,,,,
47027,קשקבל (27% גלעד) תנובה,160,160.0,,160,160.0,,160,160.0,,160,160.0,,,,
7290000047034,רוקפור (26% גליל) חריץ תנובה,160,160.0,,160,160.0,,160,160.0,,,,,,,
47485,בולגרית פיראוס 24% פח 3  קג`תנובה,72,72.0,,72,72.0,,72,72.0,,72,72.0,,72,72.0,
7290000052717, קוטג`בטעמים עם שום שמיר 5% 250 גר`,6.90,6.9,,6.90,6.9,,6.90,6.9,,6.90,6.9,,6.90,6.9,
7290000053219,טל העמק 32% צהובה,75,75.0,,75,75.0,,75,75.0,,75,75.0,,75,75.0,
7290000046181,עמק פיקוח 28% צהובה מעדנייה,52.30,52.3,,52.30,52.3,,52.30,52.3,,52.30,52.3,,52.30,52.3,
58214,גבינת עיזים הולנד מעדנייה,145,145.0,,145,145.0,,145,145.0,,145,145.0,,,,
5711953103285,פטינה ארלה מעדנייה,28,28.0,,,,,28,28.0,,,,,,,
62084,דג פילה לברק טרי,129,129.0,119,,,,,,,,,,,,
87475,עגבניות חתוכות דק 400  גר`פריניר,5.50,5.5,,,,,5.50,5.5,,,,,,,
7290113196070,חלה מאפייה,11.90,11.9,,,,,11.90,11.9,,,,,11.90,11.9,
7290002198109,צלעות אסאדו מעושנות מעדנייה,140,140.0,,,,,,,,140,140.0,,,,
228245,פילה אמנון (מושט) קפוא,29.90,29.9,19.90,29.90,29.9,19.90,29.90,29.9,19.90,29.90,29.9,19.90,29.90,29.9,19.90
242982,מנות סלמון נורווגי עם עור ויקטורי,52.90,52.9,,52.90,52.9,,52.90,52.9,,52.90,52.9,,52.90,52.9,
282305,דג לברק טרי,75.90,75.9,69.90,,,,75.90,75.9,69.90,,,,,,
318165,פסטרמה אמיתית על גחלים יחיעם,99,99.0,20.90,,,,,,,,,,,,
7290000318479,פרושוטו יחיעם (100 גרם),31.90,31.9,,,,,31.90,31.9,,31.90,31.9,,,,
318493,כתף בקר מפולפל יחיעם,129,129.0,,,,,129,129.0,,129,129.0,,,,
318707,סלמי מעושן 500גרם,36.90,36.9,,,,,36.90,36.9,,36.90,36.9,,36.90,36.9,
318738,נקניק עוף 450גרם,14.90,14.9,,,,,14.90,14.9,,,,,,,
7290000318806,נקניק סרוולד יחיעם,185,185.0,,,,,185,185.0,,185,185.0,,185,185.0,
7290000318929,סלמי צרפתי יחיעם,185,185.0,,,,,,,,,,,,,
7290000319520,סלמי צרפתי יחיעם (100 גרם),24.90,24.9,,24.90,24.9,,,,,24.90,24.9,,,,
7290000319704,כתף בקר מעושן ק`ג יחיעם,129,129.0,,,,,,,,129,129.0,,,,
7290000319728,איטלקי מפולפל יחיעם,89,89.0,20.90,,,,89,89.0,20.90,,,,,,
328900,נפוליאון טבעי גבינת שמנת 25% מעדניה,47,47.0,,47,47.0,,47,47.0,,47,47.0,,47,47.0,
328924,נפוליאון שום שמיר גבינת שמנת 25% מעדניה,47,47.0,,47,47.0,,47,47.0,,47,47.0,,,,
344478,פילה מדומה טרי חלק,95,95.0,,,,,,,,,,,95,95.0,
360201,אמנון טרי שלם,34.90,34.9,,,,,34.90,34.9,,,,,34.90,34.9,
366203,דג בורי שלם טרי,49.90,49.9,,,,,49.90,49.9,,,,,,,
369549,פילה מדומה טרי מוכשר,89.90,89.9,,,,,,,,,,,,,
395408,גבנצ 28% נעם חריץ מעדנייה,52.30,52.3,,52.30,52.3,,52.30,52.3,,52.30,52.3,,52.30,52.3,
395415,גבנצ 9% נעם חריץ מעדנייה,92,92.0,,92,92.0,,,,,92,92.0,,92,92.0,
395422,גבנצ 22% נעם חריץ מעדנייה,49.72,49.72,,49.72,49.72,,49.72,49.72,,49.72,49.72,,,,
485232,צלי כתף טרי מוכשר,99,99.0,,,,,,,,,,,,,
7290000497303,לחמניות מקמח מלא ברמן) (6,12.90,12.9,,,,,,,,,,,,,
7290000530024,נקניק תה זוגלובק,55,55.0,12,55,55.0,12,55,55.0,12,55,55.0,12,55,55.0,12
7290000530048,סלמי פפרוני זוגלובק,65,65.0,,65,65.0,,65,65.0,,65,65.0,,,,
7290000530062,נקניק איטלקי זוגלובק,90,90.0,,,,,90,90.0,,90,90.0,,90,90.0,
7290000530178,קוניאק זוגלובק,90,90.0,,,,,90,90.0,,90,90.0,,90,90.0,
7290000530291,נקניק מבשר הודו זוגלובק,20.90,20.9,,,,,20.90,20.9,,20.90,20.9,,20.90,20.9,
7290000530369,פסטרמה גולן זוגלובק,87,87.0,20,,,,87,87.0,20,87,87.0,20,,,
7290000530444,כתף בקר מעושן זוגלובק,140,140.0,30,,,,130,130.0,30,,,,140,140.0,30
532721,טורו-כתף בקר זוגלובק,140,140.0,30,,,,,,,,,,,,
535791,קורנביף ניו יורק זוגלובק מעדנייה,140,140.0,30,,,,130,130.0,30,,,,,,
553519,פילה דג סלמון נורווגי קפוא עם עור,72.90,72.9,59.90,72.90,72.9,59.90,72.90,72.9,59.90,72.90,72.9,59.90,72.90,72.9,59.90
554655,מוצרלה נקניק מעושן 22% מעדנייה גד,99,99.0,,,,,99,99.0,,,,,99,99.0,
554792,בולגרית 5% 16%  מעודנת- גד מעדניה,70,70.0,,,,,70,70.0,,70,70.0,,70,70.0,
7290000554815,גבינת מוצרלה נקניק מעדנייה גד,95,95.0,,95,95.0,,95,95.0,,95,95.0,,95,95.0,
554914,גבינה צפתית רכה 5% מעדנייה גד,70,70.0,,70,70.0,,,,,,,,,,
7290000554952,צפתית קשה 10% מעדנייה גד,95,95.0,,,,,,,,,,,,,
554969,שמנות 30% גד,55,55.0,,55,55.0,,55,55.0,,,,,55,55.0,
554983,לאבנה גד,48,48.0,,48,48.0,,,,,,,,,,
554990,כדורי מוצרלה במים גד פרסקה מעדניה,105,105.0,,105,105.0,,105,105.0,,,,,105,105.0,
560915,דג דניס טרי,79.90,79.9,69.90,,,,79.90,79.9,69.90,,,,79.90,79.9,69.90
571515,פילה סלמון שלם,129,129.0,89.90,,,,119,119.0,89.90,,,,129,129.0,89.90
611136,כבד עוף קפוא,9.90,9.9,,,,,9.90,9.9,,,,,,,
745237,שריר עגל טרי מוכשר,54.90,54.9,,,,,,,,,,,,,
753218,חצי בגט,3.90,3.9,,,,,,,,,,,,,
756325,כתף טרי מוכשר ללא עצם,84.90,84.9,,,,,,,,,,,,,
820859,סטייק עין אנטריקוט קפוא פריגומרק מוביל,54.90,54.9,,,,,54.90,54.9,,,,,,,
821009,אצבעות אנטריקוט קפוא,61.90,61.9,,,,,59.90,59.9,,,,,,,
987453,פילה דניס טרי,129,129.0,,,,,,,,,,,,,
1121023,פסטרמה של פעם יחיעם,99,99.0,20.90,,,,99,99.0,20.90,99,99.0,20.90,99,99.0,20.90
1322130,שריר הזרוע מס 8 מוצפי בלדי מעובד,37.70,37.7,,,,,,,,,,,,,
1322888,פילה בקר קפוא,129,129.0,,,,,129,129.0,,,,,,,
1354643,סטייק אלתית כסופה קפוא קוהו,59.90,59.9,,,,,59.90,59.9,,,,,,,
1415269,פילסברי עוגת שמרים תפוע,21.90,21.9,,,,,,,,,,,,,
1415863,פילסברי חלה מתוקה (חת כדורים),12.90,12.9,23,12.90,12.9,23,,,,,,,,,
1433521,טחון פרימיום מובחר חלק,65.90,65.9,,,,,,,,,,,,,
1434751,טחון פרימיום מובחר כשר,59.90,59.9,,,,,,,,,,,,,
1436356,סטייק סלמון וואקום,59.90,59.9,,,,,59.90,59.9,,59.90,59.9,,,,
1461105,פילסברי לחם מחמצת לבן .,19.50,19.5,36.90,19.50,19.5,36.90,,,,,,,,,
1461112,פילסברי לחם מחמצת דגנים,19.50,19.5,36.90,,,,,,,,,,,,
1461860,פילסברי 10 פיתות,16.50,16.5,,16.50,16.5,,,,,,,,,,
1476208,ברי פקאן בלוק מעדנייה גד,160,160.0,,,,,,,,,,,,,
1516065,חזה עוף פרוס דק דק טרי ארוז קצביית פרי,49.90,49.9,,49.90,49.9,,49.90,49.9,,49.90,49.9,,49.90,49.9,
1726006,בורקס פטריות בונז`ור,48,48.0,,,,,,,,,,,,,
1989272,איקרה לבנה/אדומה משקל,34,34.0,,,,,,,,,,,,,
1989364,מקרל פרוס בשמן מעדניה,133,133.0,,133,133.0,,133,133.0,,,,,,,
1989388,מעדן מטיאס הולנדי מעדניה,68,68.0,,68,68.0,,68,68.0,,,,,,,
1989395,הרינג כבוש עם בצל מעדניה,68,68.0,,68,68.0,,68,68.0,,,,,,,
2013174,פסטרמה של פעם זוגלובק,87,87.0,20,87,87.0,20,87,87.0,20,,,,87,87.0,20
2129769,סטייק אנטריקוט טרי יבוא מוכשר צרפתי / פ,169,169.0,,,,,,,,,,,,,
2129776,צלעות טרי יבוא מוכשר צרפתי / פולני / איט,64.90,64.9,59.90,,,,,,,,,,,,
2129820,טחון טרי פרימיום מוכשר יבוא,54.90,54.9,,,,,,,,,,,,,
2129974,אסאדו ללא עצם טרי יבוא חלק פולני / צרפתי,84.90,84.9,,84.90,84.9,,84.90,84.9,,84.90,84.9,,84.90,84.9,
2206019,כרעיים עוף טרי ארוז,27.90,27.9,70,27.90,27.9,70,27.90,27.9,70,27.90,27.9,70,27.90,27.9,70
2206026,ירך עוף טרי ארוז,27.90,27.9,70,27.90,27.9,70,27.90,27.9,70,27.90,27.9,70,27.90,27.9,70
2206033,שוקיים עוף טרי ארוז,32.90,32.9,,32.90,32.9,,32.90,32.9,,32.90,32.9,,32.90,32.9,
2206040,כנפיים עוף טרי ארוז,12.90,12.9,20,12.90,12.9,20,12.90,12.9,20,,,,12.90,12.9,20
2206057,חזה עוף טרי שלם ארוז,44.90,44.9,115,44.90,44.9,115,44.90,44.9,115,44.90,44.9,115,44.90,44.9,115
2206064,חזה עוף פרוס טרי ארוז שניצל,46.90,46.9,88,,,,46.90,46.9,88,,,,46.90,46.9,88
2206088,פרגיות עוף טרי ארוז,64.90,64.9,,64.90,64.9,,64.90,64.9,,64.90,64.9,,,,
2206101,סטייק פרגית ללא עור,59.90,59.9,110,,,,59.90,59.9,110,,,,59.90,59.9,110
2206118,כבד עוף לצליה טרי ארוז.,14.90,14.9,10.90,14.90,14.9,10.90,14.90,14.9,10.90,14.90,14.9,10.90,14.90,14.9,10.90
2206125,לבבות עוף טרי ארוז,25.90,25.9,,,,,24.90,24.9,,,,,,,
2209071,פילה עוף טרי ארוז,44.90,44.9,,44.90,44.9,,44.90,44.9,,,,,44.90,44.9,
2281702,חזה עגל טרי יבוא מוכשר ארגנטיני,59.90,59.9,49.90,,,,59.90,59.9,49.90,,,,,,
2281726,טחון טרי פרימיום מוכשר יבוא ארגנטיני אנ,54.90,54.9,100,,,,54.90,54.9,100,,,,,,
2291428,מיני אסאדו עם עצם חלק קפוא פרגוואי,59.90,59.9,,,,,,,,,,,59.90,59.9,
2300885,גבינת צ`דר אנגלי כתום משקל,109,109.0,,109,109.0,,,,,109,109.0,,,,
2370130,גבינת ברי צרפתית מעדנייה וילי פוד,90,90.0,,,,,90,90.0,,90,90.0,,,,
2370161,גבינת צ`דר בשלה matured oranga מעדניה,97,97.0,,97,97.0,,,,,,,,,,
2370284,גבינת קשקבל חצי קשה 31% שומן וילי פוד,102,102.0,,,,,102,102.0,,,,,,,
2370475,גבינת דנהבלו בשלה עם עובש כחול 31% מעדנ,68,68.0,,68,68.0,,68,68.0,,68,68.0,,68,68.0,
2385196,רוקפור גבינה כחולה מעדנייה גד,160,160.0,,,,,,,,,,,,,
2385455,בולגרית מעודנת 24% מעדנייה גד,70,70.0,,,,,70,70.0,,,,,70,70.0,
2385738,מנצ`גו משולשים מעדנייה גד,170,170.0,,,,,170,170.0,,,,,,,
2385745,פקורינו משולשים מעדנייה גד,180,180.0,,,,,180,180.0,,,,,180,180.0,
2403517,חזה אווז ארוז קפוא,149,149.0,,,,,149,149.0,,149,149.0,,,,
2410874,רבעי פרגיות ממולא,59.90,59.9,,59.90,59.9,,59.90,59.9,,,,,,,
2439714,כתף מרכזי טרי יבוא מוכשר ארגנטיני,64.90,64.9,59.90,,,,,,,,,,,,
2439721,צלי כתף Azul ארגנטיני מוביל,99.90,99.9,,,,,99.90,99.9,,,,,,,
2439950,צלעות מס 2 טרי יבוא מוכשר ארגנטיני,64.90,64.9,59.90,,,,64.90,64.9,59.90,,,,,,
2439967,פילה מדומה טרי יבוא מוכשר ארגנטיני,69.90,69.9,,,,,69.90,69.9,,,,,,,
2447405,צוואר ללא עצם מוכשר טרי מ,59.90,59.9,,,,,,,,,,,,,
2447924,טחון עגל טרי כשר מוביל,54.90,54.9,,,,,,,,,,,,,
2461005,בשר ראש קפוא מוביל,99,99.0,,99,99.0,,99,99.0,,,,,,,
2478263,שוק אווז קפוא ארוז,79.90,79.9,,,,,,,,,,,,,
2502203,בורקס גבינה/תפוא חלבי בונז`ור,47,47.0,,,,,47,47.0,,,,,,,
2507383,בולגרית 5% מחלב  בקר- מעדנייה,83,83.0,,,,,,,,83,83.0,,,,
2596523,סטייק אנטריקוט משובח בואקום,91.90,91.9,,,,,89.90,89.9,,91.90,91.9,,91.90,91.9,
2608127,פילסברי בייגל רומני,5,5.0,,,,,5,5.0,,,,,,,
2608363,פילסברי לחמניות המבורגר רביעייה,16.50,16.5,,,,,16.50,16.5,,,,,,,
2608509,פילסברי לחם מחמצת זיתי קלמנטה,19.50,19.5,36.90,19.50,19.5,36.90,,,,,,,,,
2608516,פילסברי לחם מחמצת מקמח מלא,19.50,19.5,36.90,,,,,,,,,,,,
2608547,פילסברי מחמצת שיפון כהה וחמוציות,19.50,19.5,36.90,,,,,,,,,,,,
2608769,פילסברי מחמצת טוסקאני דגנים,19.50,19.5,36.90,,,,,,,,,,,,
2627883,אסאדו ללא עצם טרי יבוא ארגנטיני,65,65.0,,,,,,,,,,,,,
2651116,ג`חנון חמסי 1 קג,19.90,19.9,,,,,19.90,19.9,,,,,,,
2750154,פילסברי לחמניות יאמיס שמינייה,16.50,16.5,,16.50,16.5,,,,,,,,,,
2750338,פילסברי לחם רוסטיק עגבניות מיובשות,19.50,19.5,36.90,,,,,,,,,,,,
2750383,פילסברי מחמצת טוסקאני כפרי עגול,19.50,19.5,36.90,,,,,,,,,,,,
2750963,פילסברי בגט רוסטיק,9.90,9.9,17.90,9.90,9.9,17.90,,,,,,,,,
2750987,פילסברי חלה קלועה מתוקה,12.90,12.9,23,,,,,,,,,,,,
2757535,בורקס פילו אצבעות גבינה 700 שלושת האופים,22.90,22.9,32,22.90,22.9,32,22.90,22.9,32,22.90,22.9,32,22.90,22.9,32
2919612,אסאדו עגל קפוא 9 גלם מוביל קשתית,49.90,49.9,,,,,49.90,49.9,,,,,,,
2920311,קממבר צאן מעדנייה גד,140,140.0,,,,,,,,,,,,,
2930808,רבע כבש קפוא חלק,99,99.0,,,,,,,,,,,,,
3163847,בשר מס` 4 כתף בקר .,46.90,46.9,,,,,45.90,45.9,,46.90,46.9,,46.90,46.9,
3400500,ריזס נאטרייג`ס 47 גר`,6.90,6.9,,,,,,,,6.90,6.9,,,,
3402809,ריסז לבן 39 גרם,6.90,6.9,,,,,,,,6.90,6.9,,,,
3405204,ריסז פאסט ברייק 51 גר,6.90,6.9,,,,,,,,6.90,6.9,,,,
3444009,חטיף שוקולד חלב עם חמאת בוטנים הרשי 42 ג,6.90,6.9,,,,,,,,6.90,6.9,,,,
3578085,גבינת מוצרלה 21% מעדניה,53,53.0,,53,53.0,,53,53.0,,53,53.0,,,,
3632367,פילה ברבוניה,19.90,19.9,,19.90,19.9,,19.90,19.9,,,,,,,
3648207,מטיאס הולנדי בשמן,68,68.0,,,,,68,68.0,,,,,,,
3648276,סלמון הילטון,225,225.0,,225,225.0,,225,225.0,,,,,,,
3648306,מקרל מעושן מעדנייה סלטי שמיר,105,105.0,,,,,105,105.0,,,,,,,
4026448,פילסברי בורקיטס בולגרית,50,50.0,,,,,,,,,,,,,
4026530,פילסברי בורקס ירושלמי,50,50.0,,,,,,,,,,,,,
4033712,לחם עננים מקמח מלא 750 גרם.,15.50,15.5,,,,,,,,,,,,,
4033729,לחם עננים כוסמין 750 גרם,16.50,16.5,,,,,,,,,,,,,
7290004033736,לחם עננים בסגנון בריוש 500 גר`,15.90,15.9,,15.90,15.9,,15.90,15.9,,15.90,15.9,,15.90,15.9,
4068424,גאודה בקר משולש מעדנייה גד,130,130.0,,,,,130,130.0,,,,,,,
4068585,גאודה עיזים משולש מעדנייה גד,155,155.0,,,,,,,,,,,,,
4122607,עמק לייט 9% חריץ מעדניה צהובה,99,99.0,,,,,99,99.0,,,,,99,99.0,
