store_id,store_name,city,city_norm,proposed_canonical,match_layer,confidence
843,339 יפו תלאביב מכללה,תל אביב יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
844,340 מיני קינג סח'נין,סכנין,סכנין,,NULL,0.0
977,פרשמרקט גליל ים,גליל ים,גליל ים,גליל ים,L1,1.0
978,פרשמרקט הנדיב,הרצלייה,הרצליה,הרצלייה,L1,1.0
979,היפר דודו שוק,פתח תקווה,פתח תקווה,פתח תקווה,L1,1.0
980,פרשמרקט אזורי חו,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
981,פרשמרקט קריות זול-בי,קריית ביאליק,קריית ביאליק,קריית ביאליק,L1,1.0
982,מחסני מזון טירת הכרמ,טירת כרמל,טירת כרמל,טירת כרמל,L1,1.0
983,טיפ טוב אשר ברש,הרצלייה,הרצליה,הרצלייה,L1,1.0
984,טיפ טוב גולומב,הרצלייה,הרצליה,הרצלייה,L1,1.0
985,היפר דודו באר יעקב,באר יעקב,באר יעקב,באר יעקב,L1,1.0
986,פרשמרקט יהוד,יהוד,יהוד,,NULL,0.0
987,פרשמרקט רעננה,רעננה,רעננה,רעננה,L1,1.0
988,מחסני מזון ק.שמואל,חיפה,חיפה,חיפה,L1,1.0
989,מחסני מזון קרית אליע,חיפה,חיפה,חיפה,L1,1.0
990,טיפ טוב רעננה שברץ,רעננה,רעננה,רעננה,L1,1.0
991,היפר דודו קרית ים,קריית ים,קריית ים,קריית ים,L1,1.0
992,מחסני מזון נווה גנים,קרית מוצקין,קריית מוצקין,קריית מוצקין,L1,1.0
993,היפר דודו המושבה,פתח תקווה,פתח תקווה,פתח תקווה,L1,1.0
994,מחסני מזון ביג אתא,קרית אתא,קריית אתא,קריית אתא,L1,1.0
995,מחסני להב נתניה,נתניה,נתניה,נתניה,L1,1.0
996,סופר דוש וולפסון,חולון,חולון,חולון,L1,1.0
997,מחסני להב באר שבע,באר שבע,באר שבע,באר שבע,L1,1.0
998,מחסני להב יבנה,יבנה,יבנה,יבנה,L1,1.0
999,מחסני להב אשדוד,אשדוד,אשדוד,אשדוד,L1,1.0
1000,מחסני להב נוף הגליל,נצרת עילית,נוף הגליל,נוף הגליל,L1,1.0
1001,מחסני להב סביניה,קריית ביאליק,קריית ביאליק,קריית ביאליק,L1,1.0
1002,מחסני להב רמז,חיפה,חיפה,חיפה,L1,1.0
1003,מחסני להב כצנלסון,קרית אתא,קריית אתא,קריית אתא,L1,1.0
1004,מחסני להב קרית ים,קריית ים,קריית ים,קריית ים,L1,1.0
1005,פרשמרקט רמת אביב,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
1006,סופר דוש קניון בת ים,בת ים,בת ים,בת ים,L1,1.0
1007,סופר דוש בתימון,בת ים,בת ים,בת ים,L1,1.0
1008,סופר דוש העצמאות,בת ים,בת ים,בת ים,L1,1.0
1009,סופר דוש חולון,חולון,חולון,חולון,L1,1.0
1010,פרשמרקט מרום נווה,רמת גן,רמת גן,רמת גן,L1,1.0
1011,טיפ טופ בבלי,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
