store_id,store_name,city,city_norm,proposed_canonical,match_layer,confidence
640,קרפור טמרה,טמרה,טמרה,טמרה,L1,1.0
641,מרקט בית שמש האמוראי,בית שמש,בית שמש,בית שמש,L1,1.0
642,מרקט יבנה דואני,יבנה,יבנה,יבנה,L1,1.0
643,קרפור יבנה נאות שמיר,יבנה,יבנה,יבנה,L1,1.0
644,היפר עפולה,עפולה,עפולה,עפולה,L1,1.0
645,היפר נתיבות מרכז,נתיבות,נתיבות,נתיבות,L1,1.0
646,היפר ירושלים תלפיות,ירושלים,ירושלים,ירושלים,L1,1.0
647,קרפור קרית שמונה,קריית שמונה,קריית שמונה,קריית שמונה,L1,1.0
648,קרפור סיטי  ויצמן תל אביב,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
649,קרפור סיטי  גרינברג חיפה,חיפה,חיפה,חיפה,L1,1.0
650,קרפור סיטי עוזיאל בת ים,בת ים,בת ים,בת ים,L1,1.0
651,בעיר ויצמן חולון,חולון,חולון,חולון,L1,1.0
652,קרפור מרקט  לה גרדיה,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
653,קרפור סיטי  אבן גבירול,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
654,קרפור מרקט  מגדל נחום,בת ים,בת ים,בת ים,L1,1.0
655,קרפור סיטי רמת יוסף,בת ים,בת ים,בת ים,L1,1.0
656,קרפור סיטי  נאות רחל,חולון,חולון,חולון,L1,1.0
657,קרפור סיטי  נאות אפקה,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
658,קרפור סיטי  נאות שושנים,חולון,חולון,חולון,L1,1.0
659,קרפור סיטי  הצרכנייה אשדוד ד,אשדוד,אשדוד,אשדוד,L1,1.0
660,קרפור הרואה רמת גן,רמת גן,רמת גן,רמת גן,L1,1.0
661,קרפור רווה רמת גן,רמת גן,רמת גן,רמת גן,L1,1.0
662,קרפור סיטי דימונה,דימונה,דימונה,דימונה,L1,1.0
663,קרפור סיטי  רמת החייל,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
664,קרפור סיטי  עמק ברכה,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
665,קרפור סיטי  הצרכניה רובע ט ב'ש,באר שבע,באר שבע,באר שבע,L1,1.0
666,קרפור סיטי  ירושלים נתניה,נתניה,נתניה,נתניה,L1,1.0
667,קרפור סיטי  בית אבות,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
668,קרפור סיטי  קרית אונו,קריית אונו,קריית אונו,קריית אונו,L1,1.0
669,קרפור סיטי  רמת אפעל,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
670,קרפור מרכז רעננה,רעננה,רעננה,רעננה,L1,1.0
671,קרפור גולן רעננה,רעננה,רעננה,רעננה,L1,1.0
672,קרפור סיטי  קרית שרת,רעננה,רעננה,רעננה,L1,1.0
673,קרפור סיטי  ותיקים רעננה,רעננה,רעננה,רעננה,L1,1.0
674,קרפור סיטי  מרכז נתניה,נתניה,נתניה,נתניה,L1,1.0
675,קרפור סיטי  נווה אביבים,תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
676,קרפור סיטי אזורים נתניה,נתניה,נתניה,נתניה,L1,1.0
677,קרפור סיטי  קניון כפר סבא (1030),כפר סבא,כפר סבא,כפר סבא,L1,1.0
678,קרפור סיטי  הוד השרון (1040),הוד השרון,הוד השרון,הוד השרון,L1,1.0
679,קרפור סיטי  לב דיזנגוף (1090),תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
680,קרפור סיטי  הצרכנייה רמלה (1112),רמלה,רמלה,רמלה,L1,1.0
681,קרפור סיטי  רון כפר סבא (1139),כפר סבא,כפר סבא,כפר סבא,L1,1.0
682,קרפור סיטי  נווה כרמית (1147),ראשון לציון,ראשון לציון,ראשון לציון,L1,1.0
683,קרפור סיטי  מכבים (1150),מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,L1,1.0
684,בעיר חפץ חיים (1171),פתח תקווה,פתח תקווה,פתח תקווה,L1,1.0
685,קרפור סיטי  צמרות (1190),תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
686,קרפור מרקט  יהלומים (1201),גבעתיים,גבעתיים,גבעתיים,L1,1.0
